Query,Chunk Number,Chunk Content
How can I activate my debit card?,5,"which accept the corresponding Network Cards.
6. Electronic Usage Sign: Your card can be only used at electronic Point 
of Sale Swipe Terminals of any Merchant Establishment bearing the 
Network Electron logo.This is Non Mandatory field and few cards may 
not have this.
ANITA KUMAR
FRONT
1. Magnetic Strip: Encodes all vital information pertaining to your Debit 
Card. Take care to keep it away from magnets and magnetic fields. 
Please ensure that it does not get scratched."
How can I apply for personal loan?,1,"8. How can I apply for a loan (personal, home, business) through Kotak Mahindra Bank, and what are the eligibility criteria?
Kotak Mahindra Bank offers various loan options, including Personal Loans, Home Loans, and Business Loans, which can be applied for online or at a branch.
1. How to Apply for a Loan?
a) Via Kotak Mobile Banking App
         1. Log in to the Kotak Mobile Banking App.
         2. Navigate to ‘Loans’ and select the loan type (Personal/Home/Business)."
How can I apply for personal loan?,2,"• Pay all your utility bills with the convenience of just one app (Electricity bills, 
Gas bills, Water bills, and many more)
• Quick Recharges for Mobile, FASTag, DTH/Cable etc.
• Set up an AutoPay for all your upcoming bill payments.
• Apply for Home Loan, Personal Loan, Pay Day Loan, Consumer Durable 
Loan , Business Loan and much more
• Check your loan details & get a free credit score check
• Discover and Apply for Pre-approved Loan Offers.
Bill payments and recharge
Loans"
How can I apply for personal loan?,3,"c) Visit a Kotak Mahindra Bank Branch
         * Customers can visit their nearest Kotak branch with required documents.
         * A bank representative will assist in filling out the application.
d) Customer Care Helpline
         * Call 1860 266 2666 to check loan eligibility and initiate the application process.
2. Eligibility Criteria for Loans
A) Personal Loan
Eligibility:
         * Indian residents aged 21 to 60 years.
         * Salaried professionals with a minimum monthly income of ₹25,000."
How can I apply for personal loan?,4,"3. Check for pre-approved offers (if applicable).
         4. Fill in the required details and submit your application.
         5. Upload necessary documents (if required).
         6. Track application status through the app.
b) Via Kotak Net Banking
         1. Log in to Kotak Net Banking at www.kotak.com.
         2. Go to Loan Section > Apply for a Loan.
         3. Choose the loan type and enter the required details.
         4. Upload documents (if applicable) and submit."
How can I apply for personal loan?,5,"3. Loan Approval & Disbursal Time
         * Personal Loans: Instant to 48 hours (for pre-approved customers).
         * Home Loans: 5 to 10 working days.
         * Business Loans: 7 to 15 working days.
For detailed loan eligibility and interest rates, visit www.kotak.com or call 1860 266 2666."
how to check my balance on mobile banking app?,1,"Mobile Banking Mobile Banking Features
Get access to over 250+ features on the Kotak Mobile Banking App
1. Open the Kotak Mobile Banking App or Scan the QR to download the 
app
2. Register yourself in the app using your bank registered mobile number 
and activate the app instantly
3. Set your MPIN using your Debit/Credit/Forex card or net banking 
password
4. Use your new MPIN to login and access all the features of the app
The Kotak Mobile Banking App, a best-in-class App, provides banking on the"
how to check my balance on mobile banking app?,2,"3. Select the transfer method (listed below).
4. Enter the recipient’s details (Account Number, UPI ID, or Mobile Number).
5. Enter the transfer amount and add a remark (optional).
6. Verify the transaction using OTP or MPIN.
7. Once confirmed, the transaction will be processed, and you will receive an SMS alert.
Available Transfer Methods in Kotak Mobile Banking App:
1. UPI (Unified Payments Interface) Transfers
Send money using a UPI ID, Mobile Number, or UPI QR Code."
how to check my balance on mobile banking app?,3,"below Average Quarterly Balance Alert, Periodic Bank Account, Balance 
- Daily/Weekly (sent every Monday) and Standing Instruction (SI) Failure 
Alert.
In addition to the subscription alerts, you will receive security alerts for all 
transactions done online.
SMS Banking Services
Kotak Mahindra Bank's SMS Banking service enables you to access your 
Bank account, Investment account and Demat account on your Mobile 
Phone.
It is quick and easy, available to you 24X7 and it's absolutely free! (SMS"
how to check my balance on mobile banking app?,4,"downloaded from Playstore and App Store.
Ios QR code Android Qr code
• View your account balance, account activity, account details and cheque 
status
• Open a Fixed Deposit, Recurring Deposit & Tax Saving Deposit or view 
details of all your term deposits.
• Request for your account statements or order a cheque book.
• Apply for Credit Card, Forex Card, Smart EMI Card, Kotak Gift Card or a 
Debit Card upgrade.
• Open a Prepaid Spendz account to track your everyday payments."
how to check my balance on mobile banking app?,5,"go, which is a must in today’s digital era. The app offers a feature-rich mobile 
banking experience with 250+ features live.
You can use the various features of the mobile banking app to access your 
account details, Pay bills, Invest, Shop, Apply for Loans, Cards and other services 
from the bank. You can also raise service requests for your account and services 
related requests right from the app.
Available in both Android and iOS, the Kotak Mobile Banking App can be"
Is it safe to transfer online through kotak?,1,"Security Features Please Note
To help you with a safe and secure banking experience, Kotak Mobile 
Banking app ensures your transactions are authorised and secured
Features:
• 2 Factor Authentication protection for all fund transfer 
transactions.
• Transaction confirmation alerts on transactions performed on the 
app to keep you informed of any activity on your account
• Email alerts on every incorrect login attempt to appraise you of your 
account access"
Is it safe to transfer online through kotak?,2,"Ideal for internal transfers or payments to family/friends who have Kotak accounts.
6. Pay Your Contact (Send Money Using Mobile Number)
Transfer money to any mobile number linked to Kotak UPI or any other bank’s UPI.
No need to enter account details—quick and easy!
7. Scheduled & Recurring Transfers
Set up standing instructions for rent, EMIs, bill payments, and subscriptions.
Automates payments for a hassle-free experience.
Additional Features:"
Is it safe to transfer online through kotak?,3,"• Transfer money through various methods (IMPS, NEFT, RTGS UPI, Kotak to 
Kotak Third Party Fund Transfer and Self Transfer).
• Add/Manage and send money to your beneficiaries or send money 
abroad
• Use Pay Your Contact to send money with just mobile numbers, without 
the need to enter account or UPI details
• You can also do a one-time transfer without adding a beneficiary by 
simply entering the account details.
• Setup scheduled payments for a one-time transfer or recurring payments"
Is it safe to transfer online through kotak?,4,"Additional Features:
* One-time transfer without adding a beneficiary (for UPI & IMPS).
* Add/manage beneficiaries for quick future transactions.
* Track transfer history and pending payments within the app.
* Receive transaction confirmation alerts via SMS & email.
For any issues, call Kotak Customer Care at 1860 266 2666."
Is it safe to transfer online through kotak?,5,"For further assistance, call 1860 266 2666 or visit www.kotak.com.
10. How does Kotak Mahindra Bank ensure security and fraud protection for its customers in online banking and transactions?
Kotak Mahindra Bank implements multiple security measures to protect customers from fraud, unauthorized transactions, and cyber threats. These security protocols apply to Net Banking, Mobile Banking, Debit/Credit Cards, UPI, and other digital banking services.
________________"
